Match_ID,Teams,Venue,Toss_Winner,Toss_Decision,Winner,Margin_Runs,Margin_Wickets,Player_of_Match
5,"['Mumbai Indians', 'Royal Challengers Bangalore']",Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,,5.0,MV Boucher
19,"['Delhi Capitals', 'Kolkata Knight Riders']","Brabourne Stadium, Mumbai",Kolkata Knight Riders,field,Delhi Capitals,44.0,,Kuldeep Yadav
8,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']","Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,Kolkata Knight Riders,,8.0,G Gambhir
18,"['Kochi Tuskers Kerala', 'Chennai Super Kings']",Nehru Stadium,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,,7.0,BB McCullum
12,"['Deccan Chargers', 'Kings XI Punjab']",Barabati Stadium,Kings XI Punjab,field,Deccan Chargers,6.0,,A Symonds
31,"['Royal Challengers Bangalore', 'Pune Warriors']",M Chinnaswamy Stadium,Pune Warriors,field,Royal Challengers Bangalore,130.0,,CH Gayle
6,"['Kings XI Punjab', 'Royal Challengers Bangalore']",Dubai International Cricket Stadium,Royal Challengers Bangalore,field,Kings XI Punjab,97.0,,KL Rahul
28,"['Chennai Super Kings', 'Kolkata Knight Riders']","MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,field,Chennai Super Kings,2.0,,DJ Bravo
2,"['Kolkata Knight Riders', 'Delhi Daredevils']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,9.0,AD Russell
11,"['Chennai Super Kings', 'Kolkata Knight Riders']","MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,,9.0,JDP Oram
27,"['Royal Challengers Bangalore', 'Delhi Capitals']","Wankhede Stadium, Mumbai",Delhi Capitals,field,Royal Challengers Bangalore,16.0,,KD Karthik
35,"['Delhi Daredevils', 'Royal Challengers Bangalore']",Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,37.0,,PD Collingwood
unknown,"['Delhi Daredevils', 'Rajasthan Royals']",Wankhede Stadium,Delhi Daredevils,field,Rajasthan Royals,105.0,,SR Watson
30,"['Rising Pune Supergiant', 'Kolkata Knight Riders']",Maharashtra Cricket Association Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,7.0,RV Uthappa
45,"['Kochi Tuskers Kerala', 'Kolkata Knight Riders']",Nehru Stadium,Kolkata Knight Riders,field,Kochi Tuskers Kerala,17.0,,BJ Hodge
10,"['Royal Challengers Bangalore', 'Mumbai Indians']",Dubai International Cricket Stadium,Mumbai Indians,field,unknown,,,AB de Villiers
63,"['Kolkata Knight Riders', 'Chennai Super Kings']",Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,,5.0,MEK Hussey
unknown,"['Chennai Super Kings', 'Mumbai Indians']",Feroz Shah Kotla,Chennai Super Kings,bat,Chennai Super Kings,48.0,,MEK Hussey
39,"['Royal Challengers Bangalore', 'Mumbai Indians']",Dubai International Cricket Stadium,Mumbai Indians,field,Royal Challengers Bangalore,54.0,,GJ Maxwell
56,"['Delhi Capitals', 'Rajasthan Royals']","Arun Jaitley Stadium, Delhi",Rajasthan Royals,field,Delhi Capitals,20.0,,Kuldeep Yadav
22,"['Rajasthan Royals', 'Royal Challengers Bangalore']","Sardar Patel Stadium, Motera",Royal Challengers Bangalore,field,Royal Challengers Bangalore,,9.0,MA Starc
51,"['Gujarat Lions', 'Kolkata Knight Riders']",Green Park,Gujarat Lions,field,Gujarat Lions,,6.0,DR Smith
32,"['Delhi Daredevils', 'Sunrisers Hyderabad']",Feroz Shah Kotla,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,8.0,DW Steyn
8,"['Pune Warriors', 'Kings XI Punjab']",Subrata Roy Sahara Stadium,Pune Warriors,bat,Pune Warriors,22.0,,MN Samuels
4,"['Rajasthan Royals', 'Chennai Super Kings']",Sharjah Cricket Stadium,Chennai Super Kings,field,Rajasthan Royals,16.0,,SV Samson
42,"['Deccan Chargers', 'Kolkata Knight Riders']","Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Kolkata Knight Riders,20.0,,YK Pathan
44,"['Mumbai Indians', 'Chennai Super Kings']",MA Chidambaram Stadium,Chennai Super Kings,field,Mumbai Indians,46.0,,RG Sharma
38,"['Kolkata Knight Riders', 'Royal Challengers Bangalore']",Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,47.0,,G Gambhir
32,"['Deccan Chargers', 'Kolkata Knight Riders']","Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,23.0,,SC Ganguly
unknown,"['Chennai Super Kings', 'Royal Challengers Bangalore']",JSCA International Stadium Complex,Chennai Super Kings,field,Chennai Super Kings,,3.0,A Nehra
unknown,"['Sunrisers Hyderabad', 'Kolkata Knight Riders']","MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,bat,Kolkata Knight Riders,,8.0,MA Starc
41,"['Royal Challengers Bangalore', 'Kolkata Knight Riders']",SuperSport Park,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,6.0,LRPL Taylor
57,"['Mumbai Indians', 'Gujarat Titans']","Wankhede Stadium, Mumbai",Gujarat Titans,field,Mumbai Indians,27.0,,SA Yadav
4,"['Punjab Kings', 'Rajasthan Royals']","Wankhede Stadium, Mumbai",Rajasthan Royals,field,Punjab Kings,4.0,,SV Samson
49,"['Rising Pune Supergiants', 'Delhi Daredevils']",Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,field,Rising Pune Supergiants,19.0,,AB Dinda
46,"['Chennai Super Kings', 'Deccan Chargers']","MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,10.0,,SK Raina
51,"['Deccan Chargers', 'Royal Challengers Bangalore']","Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore,,5.0,R Vinay Kumar
38,"['Kolkata Knight Riders', 'Chennai Super Kings']","Zayed Cricket Stadium, Abu Dhabi",Kolkata Knight Riders,bat,Chennai Super Kings,,2.0,RA Jadeja
48,"['Kings XI Punjab', 'Royal Challengers Bangalore']",Holkar Cricket Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,10.0,UT Yadav
41,"['Royal Challengers Bangalore', 'Mumbai Indians']",M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,,6.0,KH Pandya
20,"['Delhi Capitals', 'Sunrisers Hyderabad']","MA Chidambaram Stadium, Chepauk, Chennai",Delhi Capitals,bat,unknown,,,PP Shaw
53,"['Punjab Kings', 'Kolkata Knight Riders']","Eden Gardens, Kolkata",Punjab Kings,bat,Kolkata Knight Riders,,5.0,AD Russell
unknown,"['Delhi Daredevils', 'Deccan Chargers']",SuperSport Park,Deccan Chargers,field,Deccan Chargers,,6.0,AC Gilchrist
28,"['Delhi Daredevils', 'Kolkata Knight Riders']",Feroz Shah Kotla,Delhi Daredevils,bat,Kolkata Knight Riders,,8.0,G Gambhir
24,"['Kings XI Punjab', 'Mumbai Indians']",Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,3.0,KA Pollard
unknown,"['Gujarat Lions', 'Sunrisers Hyderabad']",Feroz Shah Kotla,Sunrisers Hyderabad,field,Sunrisers Hyderabad,,4.0,DA Warner
39,"['Sunrisers Hyderabad', 'Royal Challengers Bangalore']",Rajiv Gandhi International Stadium,Royal Challengers Bangalore,field,Sunrisers Hyderabad,5.0,,KS Williamson
16,"['Kings XI Punjab', 'Sunrisers Hyderabad']",Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,bat,Kings XI Punjab,15.0,,CH Gayle
20,"['Rising Pune Supergiants', 'Kolkata Knight Riders']",Maharashtra Cricket Association Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,,2.0,SA Yadav
3,"['Royal Challengers Bangalore', 'Punjab Kings']","Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,Punjab Kings,,5.0,OF Smith
2,"['Mumbai Indians', 'Delhi Capitals']","Brabourne Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,,4.0,Kuldeep Yadav
23,"['Kolkata Knight Riders', 'Chennai Super Kings']",MA Chidambaram Stadium,Chennai Super Kings,field,Chennai Super Kings,,7.0,DL Chahar
38,"['Rajasthan Royals', 'Kings XI Punjab']",Holkar Cricket Stadium,Kings XI Punjab,field,Kings XI Punjab,,6.0,Mujeeb Ur Rahman
17,"['Chennai Super Kings', 'Rajasthan Royals']",Maharashtra Cricket Association Stadium,Rajasthan Royals,field,Chennai Super Kings,64.0,,SR Watson
67,"['Lucknow Super Giants', 'Mumbai Indians']","Wankhede Stadium, Mumbai",Mumbai Indians,field,Lucknow Super Giants,18.0,,N Pooran
42,"['Punjab Kings', 'Mumbai Indians']","Zayed Cricket Stadium, Abu Dhabi",Mumbai Indians,field,Mumbai Indians,,6.0,KA Pollard
49,"['Rajasthan Royals', 'Kolkata Knight Riders']",Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,,6.0,Kuldeep Yadav
52,"['Rajasthan Royals', 'Sunrisers Hyderabad']","Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,bat,Sunrisers Hyderabad,,4.0,GD Phillips
